Segment,Distance,OSM_Feature,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Charge_at_Begining,Charge_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Charge_Consumed,Geometry
41,137.55843514233493,196862691,35.047042846679695,-85.30950164794922,35.04580307006836,-85.30947875976562,1572599009000.0,1572599023000.0,2019-11-01 04:03:29:000,2019-11-01 04:03:43:000,95.2817601851852,95.24153083333331,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.040229351851891686,"LINESTRING (-85.309444 35.0470969, -85.3094171 35.0459051, -85.3094139 35.0457633)"
43,197.49106612795856,111563738,35.045738220214844,-85.30948638916016,35.043960571289055,-85.30937194824219,1572599024000.0,1572599070000.0,2019-11-01 04:03:44:000,2019-11-01 04:04:30:000,95.23937222222222,95.06140716049386,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1779650617283579,"LINESTRING (-85.3094139 35.0457633, -85.30941129999999 35.0456631, -85.30939069999999 35.0448465, -85.30935169999999 35.0441207, -85.309347 35.0439513, -85.30933899999999 35.0434422, -85.309342 35.0432239, -85.3093119 35.0430404, -85.3092532 35.0428631, -85.3091675 35.0426674, -85.3088003 35.0419278, -85.30817 35.0407259, -85.3076394 35.0397011, -85.3075367 35.0395347)"
45,419.7797126473535,19498489,35.04391098022461,-85.30933380126953,35.04233169555664,-85.3051528930664,1572599071000.0,1572599144000.0,2019-11-01 04:04:31:000,2019-11-01 04:05:44:000,95.05408112139921,94.63635680041149,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.41772432098771617,"LINESTRING (-85.309347 35.0439513, -85.30861280000001 35.0436582, -85.3083546 35.0435594, -85.3079405 35.0434009, -85.30728879999999 35.0431491, -85.3066218 35.0428919, -85.3058389 35.0425818, -85.3050174 35.0422983)"
47,1173.319385538397,143274302,35.04228973388672,-85.3050308227539,35.0377197265625,-85.2934341430664,1572599145000.0,1572599246000.0,2019-11-01 04:05:45:000,2019-11-01 04:07:26:000,94.62958584362141,94.2237873765432,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4057984670782133,"LINESTRING (-85.3050174 35.0422983, -85.3050171 35.0422982, -85.3042415 35.0419911, -85.3023532 35.0412485, -85.30121939999999 35.0408017, -85.29936379999999 35.0400408, -85.29753669999999 35.0393075, -85.2960266 35.0387411, -85.2946536 35.0382131, -85.29326519999999 35.0377325)"
49,0.0,136783458,35.037670135498054,-85.29344177246094,35.037670135498054,-85.29344177246094,1572599247000.0,1572599247000.0,2019-11-01 04:07:27:000,2019-11-01 04:07:27:000,94.2121849074074,94.2121849074074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,"LINESTRING (-85.29326519999999 35.0377325, -85.2924041 35.0374572)"
51,0.0,143274302,35.037612915039055,-85.29345703125,35.037612915039055,-85.29345703125,1572599248000.0,1572599248000.0,2019-11-01 04:07:28:000,2019-11-01 04:07:28:000,94.19954762345681,94.19954762345681,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,"LINESTRING (-85.3050174 35.0422983, -85.3050171 35.0422982, -85.3042415 35.0419911, -85.3023532 35.0412485, -85.30121939999999 35.0408017, -85.29936379999999 35.0400408, -85.29753669999999 35.0393075, -85.2960266 35.0387411, -85.2946536 35.0382131, -85.29326519999999 35.0377325)"
53,112.25039780725685,78438810,35.037548065185554,-85.29348754882812,35.036624908447266,-85.29399108886719,1572599249000.0,1572599259000.0,2019-11-01 04:07:29:000,2019-11-01 04:07:39:000,94.1870409979424,94.09743205761316,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08960894032924216,"LINESTRING (-85.29384949999999 35.0367017, -85.29356799999999 35.0372437, -85.29326519999999 35.0377325)"
55,63.94199144336571,78438863,35.03652572631836,-85.2940444946289,35.035995483398445,-85.29431915283203,1572599260000.0,1572599265000.0,2019-11-01 04:07:40:000,2019-11-01 04:07:45:000,94.09269814814812,94.10367105967079,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.010972911522671323,"LINESTRING (-85.2943872 35.0356956, -85.29384949999999 35.0367017)"
57,459.5187403337288,51067013,35.035888671875,-85.29438018798828,35.032100677490234,-85.29641723632812,1572599266000.0,1572599309000.0,2019-11-01 04:07:46:000,2019-11-01 04:08:29:000,94.11004846707823,94.1895498148148,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.07950134773656714,"LINESTRING (-85.2993429 35.0264316, -85.2982215 35.0284969, -85.29727130000001 35.0302243, -85.2967999 35.0310419, -85.2963386 35.0319575, -85.2960908 35.0323749, -85.2955518 35.0334354, -85.2953005 35.0339772, -85.2943872 35.0356956)"
59,0.0,164655740,35.032093048095696,-85.29642486572266,35.032093048095696,-85.29642486572266,1572599310000.0,1572599310000.0,2019-11-01 04:08:30:000,2019-11-01 04:08:30:000,94.18655676954731,94.18655676954731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"LINESTRING (-85.2977357 35.0324997, -85.2973322 35.0323298, -85.2971694 35.0322649, -85.2963386 35.0319575, -85.29494 35.0314315, -85.2944648 35.0312579, -85.2932725 35.0308498, -85.2927668 35.030664, -85.29162220000001 35.0302157, -85.2900009 35.0296305, -85.28850250000001 35.0290947, -85.288157 35.028974, -85.28710890000001 35.0285815, -85.28645849999999 35.0283459, -85.2860982 35.0282173, -85.285628 35.0280471, -85.2850748 35.0278427, -85.2842471 35.0275472, -85.2836009 35.027323, -85.2831039 35.0271497, -85.2828437 35.0270558, -85.28261379999999 35.0269759, -85.28171690000001 35.026658, -85.281453 35.0265658, -85.2809615 35.0263922, -85.2804625 35.0262135, -85.2800979 35.0260897, -85.2793884 35.0258359, -85.2789657 35.0256861, -85.2782868 35.025449, -85.2781481 35.0254, -85.2779728 35.0253381, -85.2771742 35.0250562)"
