Sample,OSM_Feature,Distance,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Energy_at_Begining,Energy_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Energy_Consumed
45,19498489,419.8315559419252,35.04391098022461,-85.30933380126953,35.04233169555664,-85.3051528930664,1572599071000.0,1572599144000.0,2019-11-01 04:04:31:000,2019-11-01 04:05:44:000,95.05408112139921,94.63635680041149,73,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.41772432098771617
46,143274302,12.071580979490516,35.04233169555664,-85.3051528930664,35.04228973388672,-85.3050308227539,1572599144000.0,1572599145000.0,2019-11-01 04:05:44:000,2019-11-01 04:05:45:000,94.63635680041149,94.62958584362141,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.006770956790077776
47,143274302,1174.2295470311622,35.04228973388672,-85.3050308227539,35.0377197265625,-85.2934341430664,1572599145000.0,1572599246000.0,2019-11-01 04:05:45:000,2019-11-01 04:07:26:000,94.62958584362141,94.2237873765432,101,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.4057984670782133
48,78438810,19.65791005243885,35.0377197265625,-85.2934341430664,35.037548065185554,-85.29348754882812,1572599246000.0,1572599249000.0,2019-11-01 04:07:26:000,2019-11-01 04:07:29:000,94.2237873765432,94.1870409979424,3,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.036746378600795986
53,78438810,113.31548800109131,35.037548065185554,-85.29348754882812,35.036624908447266,-85.29399108886719,1572599249000.0,1572599259000.0,2019-11-01 04:07:29:000,2019-11-01 04:07:39:000,94.1870409979424,94.09743205761316,10,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.08960894032924216
54,78438863,12.034205260612257,35.036624908447266,-85.29399108886719,35.03652572631836,-85.2940444946289,1572599259000.0,1572599260000.0,2019-11-01 04:07:39:000,2019-11-01 04:07:40:000,94.09743205761316,94.09269814814812,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.004733909465045372
55,78438863,63.94199144336571,35.03652572631836,-85.2940444946289,35.035995483398445,-85.29431915283203,1572599260000.0,1572599265000.0,2019-11-01 04:07:40:000,2019-11-01 04:07:45:000,94.09269814814812,94.10367105967079,5,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-0.010972911522671323
56,51067013,13.093336915239387,35.035995483398445,-85.29431915283203,35.035888671875,-85.29438018798828,1572599265000.0,1572599266000.0,2019-11-01 04:07:45:000,2019-11-01 04:07:46:000,94.10367105967079,94.11004846707823,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-0.0063774074074416385
57,51067013,462.5150849212642,35.035888671875,-85.29438018798828,35.032100677490234,-85.29641723632812,1572599266000.0,1572599309000.0,2019-11-01 04:07:46:000,2019-11-01 04:08:29:000,94.11004846707823,94.1895498148148,43,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-0.07950134773656714
58,51067013,1.8303995081960795,35.032100677490234,-85.29641723632812,35.03208541870117,-85.29642486572266,1572599309000.0,1572599311000.0,2019-11-01 04:08:29:000,2019-11-01 04:08:31:000,94.1895498148148,94.18033954732508,2,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.009210267489720536
